06168, [ 12209 ] ,안습 피규어, = ,06205, ,OTL 피규어, ( 1 개 ), + ,06283, ,가습 구슬, ( 2 개 ), + ,12187, ,안습 에센스, ( 1 개 ),,,,,,,,,,,,,,,
06169,12210,컨스트럭트 건, = ,06189, ,나사 건, ( ? 개 ), + ,06225, ,액체 금속, ( ? 개 ), + ,12177, ,나노 쉬프터, ( ? 개 ),,,,,,,,,,,,,,,
06170,15151,스콜피온 PX-08, = ,03236, ,전갈 꼬리, ( ? 개 ), + ,06189, ,나사 건, ( ? 개 ), + ,12155, ,절장액, ( ? 개 ),,,,,,,,,,,,,,,
06171,15152,복종의 뿔피리, = ,12056, ,마인의 발톱, ( ? 개 ), + ,12143, ,저주의 피리, ( ? 개 ), + ,12155, ,절장액, ( ? 개 ),,,,,,,,,,,,,,,
06172,15153,뮤턴트 드링크, = ,00204, ,촉수액, ( ? 개 ), + ,09085, ,투명한 피, ( ? 개 ), + ,12192, ,돌연변이의 피, ( ? 개 ),,,,,,,,,,,,,,,
06173,12211,자라 간 주스, = ,03142, ,믹서기, ( ? 개 ), + ,03145, ,생강, ( ? 개 ), + ,09274, ,자라 간, ( ? 개 ),,,,,,,,,,,,,,,
06174, [ 12212 ] ,컴포짓 보우, = ,03074, ,철판, ( 3 개 ), + ,06299, ,플레인 보우, ( 1 개 ), + ,09009, ,옆집 누나의 머리카락, ( 3 개 ),,,,,,,,,,,,,,,
06175,09298,플레임 보우, = ,06059, ,화옥, ( ? 개 ), + ,06299, ,플레인 보우, ( 1 개 ), + ,09194, ,불타는 화살, ( ? 개 ),,,,,,,,,,,,,,,
06176,09299,아이스 보우, = ,06060, ,수옥, ( ? 개 ), + ,06299, ,플레인 보우, ( 1 개 ), + ,09195, ,차가운 화살, ( ? 개 ),,,,,,,,,,,,,,,
06177,09300,카마이타치 보우, = ,06061, ,뇌옥, ( ? 개 ), + ,06299, ,플레인 보우, ( 1 개 ), + ,09196, ,카마이타치 화살, ( ? 개 ),,,,,,,,,,,,,,,
06178,09301,스톤 보우, = ,06062, ,독옥, ( ? 개 ), + ,06299, ,플레인 보우, ( 1 개 ), + ,09197, ,돌화살, ( ? 개 ),,,,,,,,,,,,,,,
06179,12213,애시드 너클, = ,09148, ,강력 염산, ( ? 개 ), + ,09263, ,메리켄 너클, ( 1 개 ), + ,09284, ,악귀의 검은손톱, ( ? 개 ),,,,,,,,,,,,,,,
06180,15154,血扇, = ,06036, ,저주받은 무언가, ( 3 개 ), + ,09257, ,빛나는 부채, ( 1 개 ), + ,15010, ,블러드 매니퓰레이터, ( 1 개 ),,,,,,,,,,,,,,,
06181,15162,, = ,06069, ,바스트 미사일, ( ? 개 ), + ,12038, ,글래머 코어, ( ? 개 ), + ,15054, ,나노테크 CPU, ( ? 개 ),,,,,,,,,,,,,,,
06182,15163,사파이어 실버링?, = ,09148, ,강력 염산, ( ? 개 ), + ,12124, ,때탄 은가락지, ( ? 개 ), + ,15143, ,사파이어, ( ? 개 ),,,,,,,,,,,,,,,
06183,12218,블랙 쉘 메일, = ,03204, ,다부쳐Z, ( ? 개 ), + ,09171, ,검은 갑옷, ( ? 개 ), + ,09233, ,단단한 등껍질, ( ? 개 ),,,,,,,,,,,,,,,
06184, [ 12219 ] ,크리스탈 아이, = ,06234, ,달의 결정, ( 4 개 ), + ,09052, ,눈알닌겐의 눈알, ( 1 개 ), + ,09266, ,거대 망막, ( 1 개 ),,,,,,,,,,,,,,,
06185, [ 09310 ] ,싹부쳐 ZZ, = ,03204, ,다부쳐Z, ( 1 개 ), + ,06034, ,전격 엑기스, ( 2 개 ), + ,09107, ,테러 화장품, ( 1 개 ),,,,,,,,,,,,,,,
06186,12220,냉각액, = ,06281, ,지저괴수의 앞발, ( ? 개 ), + ,09101, ,수암, ( ? 개 ), + ,09285, ,영액, ( ? 개 ),,,,,,,,,,,,,,,
06187,15164,, = ,12183, ,대해괴수의 폐, ( ? 개 ), + ,12220, ,냉각액, ( ? 개 ), + ,15144, ,아쿠아마린, ( ? 개 ),,,,,,,,,,,,,,,
06188, [ 15165 ] ,나노 트랜스폼 모듈, = ,06089, ,트랜스폼 모듈, ( 1 개 ), + ,12207, ,IC회로, ( 2 개 ), + ,15054, ,나노테크 CPU, ( 1 개 ),,,,,,,,,,,,,,,
06189,12221,더스튬 괴, = ,03210, ,오리할콘 조각, ( ? 개 ), + ,06194, ,먼지 엑기스, ( ? 개 ), + ,06225, ,액체 금속, ( ? 개 ),,,,,,,,,,,,,,,
06190,09311,팥죽 머쉬룸면, = ,03197, ,하이퍼 오이, ( ? 개 ), + ,03276, ,버섯 구이, ( ? 개 ), + ,06184, ,츄발탕명, ( ? 개 ),,,,,,,,,,,,,,,
06191,09327,화강 액스, = ,00143, ,나일론 실, ( ? 개 ), + ,03275, ,화강암, ( ? 개 ), + ,06022, ,나무 지팡이(?), ( ? 개 ),,,,,,,,,,,,,,,
06192, [ 06317 ] ,원기 드링크, = ,00081, ,무색의 엑토플라즘, ( 2 개 ), + ,03049, ,곰쓸개, ( 2 개 ), + ,03095, ,검은 위액, ( 1 개 ),,,,,,,,,,,,,,,
06193,09328,이누미미, = ,00014, ,개털(?), ( ? 개 ), + ,03204, ,다부쳐Z, ( ? 개 ), + ,09185, ,네코미미, ( ? 개 ),,,,,,,,,,,,,,,
06194, [ 09329 ] ,강철괴, = ,03033, ,오크용 응급치료 가루, ( 5 개 ), + ,03301, ,철괴, ( 2 개 ), + ,06033, ,얼음 엑기스, ( 1 개 ),,,,,,,,,,,,,,,
06195,12233,다마스커스괴, = ,06302, ,하이 멜팅 파우더, ( ? 개 ), + ,09085, ,투명한 피, ( ? 개 ), + ,09329, ,강철괴, ( ? 개 ),,,,,,,,,,,,,,,
06196,09330,아이언 실드, = ,00211, ,수수께끼의 뼈다귀, ( ? 개 ), + ,03301, ,철괴, ( ? 개 ), + ,06312, ,망치, ( ? 개 ),,,,,,,,,,,,,,,
06197, [ 06138 ] ,치료가루 반죽, = ,00110, ,녹슬은 철봉, ( 1 개 ), + ,03033, ,오크용 응급치료 가루, ( 3 개 ), + ,03077, ,죽순, ( 2 개 ),,,,,,,,,,,,,,,
06198, [ 06319 ] ,힐링 누들, = ,00091, ,육개장 작은 사발면, ( 3 개 ), + ,00142, ,대파, ( 2 개 ), + ,06318, ,치료가루 반죽, ( 1 개 ),,,,,,,,,,,,,,,
06199,06320,본 사인 이어링, = ,03061, ,본 이어링, ( ? 개 ), + ,03309, ,혼 하트 이어링, ( ? 개 ), + ,06014, ,정체불명의 조각 Part-2, ( ? 개 ),,,,,,,,,,,,,,,
06200,09331,에인션트 이어링, = ,03287, ,카모나이트 화석조각, ( ? 개 ), + ,06320, ,본 사인 이어링, ( ? 개 ), + ,09162, ,제트 코어, ( ? 개 ),,,,,,,,,,,,,,,
06201,12234,딥 나이트 이어링, = ,09331, ,에인션트 이어링, ( ? 개 ), + ,12001, ,무지개 피, ( ? 개 ), + ,12221, ,더스튬 괴, ( ? 개 ),,,,,,,,,,,,,,,
06202, [ 12235 ] ,화철괴, = ,06059, ,화옥, ( 3 개 ), + ,06302, ,하이 멜팅 파우더, ( 1 개 ), + ,09329, ,강철괴, ( 2 개 ),,,,,,,,,,,,,,,
06203, [ 12236 ] ,수철괴, = ,06060, ,수옥, ( 3 개 ), + ,06302, ,하이 멜팅 파우더, ( 1 개 ), + ,09329, ,강철괴, ( 2 개 ),,,,,,,,,,,,,,,
06204, [ 12237 ] ,풍철괴, = ,06061, ,뇌옥, ( 3 개 ), + ,06302, ,하이 멜팅 파우더, ( 1 개 ), + ,09329, ,강철괴, ( 2 개 ),,,,,,,,,,,,,,,
06205, [ 12238 ] ,지철괴, = ,06062, ,독옥, ( 3 개 ), + ,06302, ,하이 멜팅 파우더, ( 1 개 ), + ,09329, ,강철괴, ( 2 개 ),,,,,,,,,,,,,,,
06206,09332,본 마스크, = ,03204, ,다부쳐Z, ( ? 개 ), + ,03311, ,갈비뼈 가면, ( ? 개 ), + ,06308, ,뾰족한 뼈다귀, ( ? 개 ),,,,,,,,,,,,,,,
06207,18068,스타 티어 다이아몬드, = ,12222, ,스페이스리움, ( ? 개 ), + ,15175, ,블루 다이아몬드, ( ? 개 ), + ,18034, ,퓨엘리움 덩어리, ( ? 개 ),,,,,,,,,,,,,,,
06208,12239,더스트 서클릿, = ,03293, ,동판, ( ? 개 ), + ,09285, ,영액, ( ? 개 ), + ,12221, ,더스튬 괴, ( ? 개 ),,,,,,,,,,,,,,,
06209, [ 09333 ] ,엘븐 스미스 해머, = ,03152, ,후라이팬, ( 3 개 ), + ,06312, ,망치, ( 1 개 ), + ,09072, ,엘븐 곡괭이, ( 1 개 ),,,,,,,,,,,,,,,
06210,12240,퓨어 멜팅 파우더, = ,06302, ,하이 멜팅 파우더, ( ? 개 ), + ,09126, ,무지개 뼈다귀, ( ? 개 ), + ,09228, ,화염의 가루, ( ? 개 ),,,,,,,,,,,,,,,
06211,09334,리본달린 하얀 팬티, = ,03242, ,가위, ( ? 개 ), + ,03299, ,하얀천, ( ? 개 ), + ,06271, ,빨간 리본, ( ? 개 ),,,,,,,,,,,,,,,
06212,06316,핑크색 천, = ,00117, ,바나나 껍질, ( ? 개 ), + ,03305, ,적색 천, ( ? 개 ), + ,03307, ,표백제, ( ? 개 ),,,,,,,,,,,,,,,
06213,06322,하늘색 천, = ,00117, ,바나나 껍질, ( ? 개 ), + ,03306, ,청색 천, ( ? 개 ), + ,03307, ,표백제, ( ? 개 ),,,,,,,,,,,,,,,
06214,06323,연두색 천, = ,00117, ,바나나 껍질, ( ? 개 ), + ,03307, ,표백제, ( ? 개 ), + ,03315, ,녹색 천, ( ? 개 ),,,,,,,,,,,,,,,
06215,12241,핑크 스트레이프 팬티, = ,06263, ,금가위, ( ? 개 ), + ,06272, ,파란 리본, ( ? 개 ), + ,09325, ,핑크 줄무늬 천, ( ? 개 ),,,,,,,,,,,,,,,
06216,12242,하늘색 스트레이프 팬티, = ,06263, ,금가위, ( ? 개 ), + ,06274, ,노란 리본, ( ? 개 ), + ,09326, ,하늘색 줄무늬 천, ( ? 개 ),,,,,,,,,,,,,,,
06217,15181,하늘색 스트레이프 삭스, = ,06271, ,빨간 리본, ( ? 개 ), + ,09326, ,하늘색 줄무늬 천, ( ? 개 ), + ,12226, ,줄무늬 양말, ( ? 개 ),,,,,,,,,,,,,,,
06218,03308,스프링 팔찌, = ,00043, ,코걸이, ( ? 개 ), + ,00054, ,저주받은 스프링, ( ? 개 ), + ,03172, ,푸석한 머리카락, ( ? 개 ),,,,,,,,,,,,,,,
06219,18069,섹시의 기원(완전본), = ,15168, ,섹시의 기원 Part-2, ( ? 개 ), + ,15170, ,섹시의 기원 Part-1, ( ? 개 ), + ,15173, ,섹시의 기원 Part-3, ( ? 개 ),,,,,,,,,,,,,,,
06220, [ 15182 ] ,다마스커스 아머, = ,06321, ,철모루, ( ? 개 ), + ,09333, ,엘븐 스미스 해머, ( ? 개 ), + ,12233, ,다마스커스괴, ( ? 개 ),,,,,,,,,,,,,,,
06221, [ 09364 ] ,실버 코팅 타일, = ,06033, ,얼음 엑기스, ( 1 개 ), + ,06044, ,페어리의 날개, ( 6 개 ), + ,06330, ,은괴, ( 1 개 ),,,,,,,,,,,,,,,
06222,09365,카오스 타일, = ,03321, ,동괴, ( ? 개 ), + ,06107, ,카오스 프레쉬, ( ? 개 ), + ,09233, ,단단한 등껍질, ( ? 개 ),,,,,,,,,,,,,,,
06223,06344,포토 타일, = ,00114, ,돼지표 본드, ( ? 개 ), + ,03082, ,타나카의 사진, ( ? 개 ), + ,03301, ,철괴, ( ? 개 ),,,,,,,,,,,,,,,
06224,09366,퀵 휩, = ,00046, ,조련용 채찍, ( ? 개 ), + ,03146, ,식칼, ( ? 개 ), + ,06331, ,아연괴, ( ? 개 ),,,,,,,,,,,,,,,
06225,09367,돌바가지 투석기, = ,00127, ,돌 바가지, ( ? 개 ), + ,03068, ,식사용 자동기계, ( ? 개 ), + ,06077, ,쇼타 빔포, ( ? 개 ),,,,,,,,,,,,,,,
06226,12256,빅 핸드 크러셔, = ,03295, ,도로셀, ( ? 개 ), + ,06181, ,3000mm 나사, ( ? 개 ), + ,09128, ,고출력 기계손, ( ? 개 ),,,,,,,,,,,,,,,
06227,09368,이글 픽, = ,03249, ,나일론 밧줄, ( ? 개 ), + ,06022, ,나무 지팡이(?), ( ? 개 ), + ,06326, ,독수리 부리, ( ? 개 ),,,,,,,,,,,,,,,
06228,15200,어토믹 프로토타입 블래스트, = ,06077, ,쇼타 빔포, ( ? 개 ), + ,12002, ,나노 제너레이터, ( ? 개 ), + ,15141, ,어토믹 배터리, ( ? 개 ),,,,,,,,,,,,,,,
06229, [ 09369 ] ,에너지 배터리, = ,06034, ,전격 엑기스, ( 2 개 ), + ,06332, ,니켈괴, ( 2 개 ), + ,06338, ,흑연가루, ( 1 개 ),,,,,,,,,,,,,,,
06230, [ 15141 ] ,어토믹 배터리, = ,09345, ,렘버늄괴, ( 2 개 ), + ,09369, ,에너지 배터리, ( 1 개 ), + ,15016, ,정령옥, ( 2 개 ),,,,,,,,,,,,,,,
06231, [ 06345 ] ,프레스 머신, = ,00104, ,100mm 베어링, ( 8 개 ), + ,03143, ,레두스타, ( 1 개 ), + ,03301, ,철괴, ( 1 개 ),,,,,,,,,,,,,,,
06232,06346,나사 발칸, = ,00076, ,300mm 나사, ( ? 개 ), + ,06340, ,철파이프, ( ? 개 ), + ,06341, ,화약 가루, ( ? 개 ),,,,,,,,,,,,,,,
06233,06347,일반 칼손잡이, = ,00143, ,나일론 실, ( ? 개 ), + ,03301, ,철괴, ( ? 개 ), + ,06040, ,놀 가죽, ( ? 개 ),,,,,,,,,,,,,,,
06234,12257,고급 칼손잡이, = ,00143, ,나일론 실, ( ? 개 ), + ,09137, ,사자 가죽, ( ? 개 ), + ,09347, ,미스릴괴, ( ? 개 ),,,,,,,,,,,,,,,
06235, [ 09370 ] ,라이트닝 봄버, = ,03295, ,도로셀, ( 3 개 ), + ,06061, ,뇌옥, ( 2 개 ), + ,06340, ,철파이프, ( 1 개 ),,,,,,,,,,,,,,,
06236,12258,겔겔 빔 캐논, = ,06072, ,정체불명의 조각 Part-5, ( ? 개 ), + ,09079, ,겔겔겔겔의 겔겔, ( ? 개 ), + ,09340, ,라이플 매터리얼, ( ? 개 ),,,,,,,,,,,,,,,
06237,09371,마그네틱 봄, = ,06032, ,백색 폭탄 조각, ( ? 개 ), + ,06050, ,흑색 폭탄 조각, ( ? 개 ), + ,06333, ,자석, ( ? 개 ),,,,,,,,,,,,,,,
06238,12259,돌피 크러셔, = ,06333, ,자석, ( ? 개 ), + ,09046, ,일반 여성 돌피 몸통, ( ? 개 ), + ,09348, ,블러드 메탈, ( ? 개 ),,,,,,,,,,,,,,,
06239,12260,스페이스 타일, = ,03294, ,청동판, ( ? 개 ), + ,06345, ,프레스 머신, ( ? 개 ), + ,12222, ,스페이스리움, ( ? 개 ),,,,,,,,,,,,,,,
06240,15201,블랙 모운, = ,06347, ,일반 칼손잡이, ( ? 개 ), + ,09333, ,엘븐 스미스 해머, ( ? 개 ), + ,12251, ,흑철괴, ( ? 개 ),,,,,,,,,,,,,,,
06241, [ 03369 ] ,폐수 커피, = ,00086, ,목심 커피믹스, ( 3 개 ), + ,00199, ,폐수, ( 1 개 ), + ,00208, ,종이컵, ( 1 개 ),,,,,,,,,,,,,,,
06242,09390,롹 음악 CD, = ,00049, ,확음악 테이프, ( ? 개 ), + ,00113, ,팩맨 게임 소프트, ( ? 개 ), + ,09147, ,롹 에센스, ( ? 개 ),,,,,,,,,,,,,,,
06243,12283,고추 화염 방사기, = ,06340, ,철파이프, ( ? 개 ), + ,09340, ,라이플 매터리얼, ( ? 개 ), + ,09388, ,지저스 고추, ( ? 개 ),,,,,,,,,,,,,,,
06244,15220,녹슨 원반, = ,12272, ,녹슨 원반 조각1, ( ? 개 ), + ,12273, ,녹슨 원반 조각2, ( ? 개 ), + ,12274, ,녹슨 원반 조각3, ( ? 개 ),,,,,,,,,,,,,,,
06245, [ 18104 ] ,지혜의 마법서, = ,15157, ,룬의 마법서, ( 1 개 ), + ,15161, ,정체 불명의 마법서, ( 1 개 ), + ,15214, ,지식의 두루마리, ( 1 개 ),,,,,,,,,,,,,,,
06246,21017,에로 게이저의 마법서, = ,15041, ,에로 에센스, ( ? 개 ), + ,18069, ,섹시의 기원 완전본, ( ? 개 ), + ,18104, ,지혜의 마법서, ( ? 개 ),,,,,,,,,,,,,,,
06247,18105,와이즈 페리도트, = ,15174, ,페리도트, ( ? 개 ), + ,15202, ,크리스탈 스컬, ( ? 개 ), + ,15214, ,지식의 두루마리, ( ? 개 ),,,,,,,,,,,,,,,
06248,12284,강화고무망치, = ,09218, ,노란 뇌, ( ? 개 ), + ,09264, ,불주머니, ( ? 개 ), + ,09389, ,천연고무망치, ( ? 개 ),,,,,,,,,,,,,,,
06249,06368,킹총명탕, = ,03351, ,강제혼합 보조제, ( ? 개 ), + ,03363, ,총명탕, ( ? 개 ), + ,03367, ,핫고추, ( ? 개 ),,,,,,,,,,,,,,,
06250,24004,창앵개 불레닌· 그란세이스, = ,21007, ,카피 오브, ( 7 개 ), + ,21015, ,창각개 블린 그라니무스, ( ? 개 ), + ,21016, ,홍앵개 , ( ? 개 ),,,,,,,,,,,,,,,
06251,12293,문스톤 필터, = ,06380, ,그라인더, ( ? 개 ), + ,09148, ,강력 염산, ( ? 개 ), + ,09352, ,문스톤, ( ? 개 ),,,,,,,,,,,,,,,
06252,09392,퀵 크로우, = ,03204, ,다부쳐Z, ( ? 개 ), + ,03347, ,퀵클링의 발톱, ( ? 개 ), + ,06315, ,핑거 익스텐드 글로브, ( ? 개 ),,,,,,,,,,,,,,,
06253,12288,스피릿 레드 소드의 주문서, = ,09228, ,화염의 가루, ( ? 개 ), + ,09357, ,파이로프, ( ? 개 ), + ,09387, ,스피릿 소드의 주문서, ( ? 개 ),,,,,,,,,,,,,,,
06254,12285,토마호크 부메랑, = ,06359, ,부메랑, ( ? 개 ), + ,09093, ,토마호크, ( ? 개 ), + ,09341, ,잡합금판, ( ? 개 ),,,,,,,,,,,,,,,
06255,12290,스피릿 그린 소드의 주문서, = ,09267, ,전기축적 기관, ( ? 개 ), + ,09351, ,시트린, ( ? 개 ), + ,09387, ,스피릿 소드의 주문서, ( ? 개 ),,,,,,,,,,,,,,,
06256, [ 06374 ] ,원형질 융해제, = ,03349, ,폭발성 촉매제, ( 1 개 ), + ,03350, ,냉각성 촉매제, ( 1 개 ), + ,03351, ,강제혼합 보조제, ( 1 개 ),,,,,,,,,,,,,,,
06257,12289,스피릿 블루 소드의 주문서, = ,09285, ,영액, ( ? 개 ), + ,09358, ,라피스라즐리, ( ? 개 ), + ,09387, ,스피릿 소드의 주문서, ( ? 개 ),,,,,,,,,,,,,,,
06258, [ 09398 ] ,나뭇잎 팬티, = ,03204, ,다부쳐Z, ( 1 개 ), + ,03354, ,나뭇잎, ( 5 개 ), + ,06375, ,고무줄, ( 1 개 ),,,,,,,,,,,,,,,
06259,18107,마나 스컬, = ,15090, ,무지개 뇌, ( ? 개 ), + ,15134, ,블랙 펑거스, ( ? 개 ), + ,15202, ,크리스탈 스컬, ( ? 개 ),,,,,,,,,,,,,,,
06260,12298,말라카이트 필터, = ,06380, ,그라인더, ( ? 개 ), + ,09148, ,강력 염산, ( ? 개 ), + ,09353, ,말라카이트, ( ? 개 ),,,,,,,,,,,,,,,
06261,21018,쿼드 혼, = ,15222, ,신속화의 물약, ( ? 개 ), + ,18012, ,더블혼, ( ? 개 ), + ,18032, ,카피 브레인, ( ? 개 ),,,,,,,,,,,,,,,
06262,09391,하이퍼 가스, = ,06026, ,숲 엑기스, ( ? 개 ), + ,06364, ,부탄 가스, ( ? 개 ), + ,09100, ,화암, ( ? 개 ),,,,,,,,,,,,,,,
06263,18111,에인션트 디스크, = ,15159, ,프라이멀 시드, ( ? 개 ), + ,15207, ,라이프 오브, ( ? 개 ), + ,15220, ,녹슨 원반, ( ? 개 ),,,,,,,,,,,,,,,
06264,12294,서펜타인 필터, = ,06380, ,그라인더, ( ? 개 ), + ,09148, ,강력 염산, ( ? 개 ), + ,09356, ,서펜타인, ( ? 개 ),,,,,,,,,,,,,,,
06265,21019,퓨어 썬, = ,18034, ,퓨엘리움 덩어리, ( ? 개 ), + ,18081, ,XXZT 배리어 머신, ( ? 개 ), + ,18112, ,듀얼 썬, ( ? 개 ),,,,,,,,,,,,,,,
06266,15227,버서커의 혼, = ,12036, ,분노 에센스, ( ? 개 ), + ,15002, ,악마의 지식, ( ? 개 ), + ,15117, ,분노의 마음, ( ? 개 ),,,,,,,,,,,,,,,
06267,12299,오닉스 필터, = ,06380, ,그라인더, ( ? 개 ), + ,09148, ,강력 염산, ( ? 개 ), + ,09349, ,오닉스, ( ? 개 ),,,,,,,,,,,,,,,
06268,18115,포지티브 아이, = ,15059, ,네거티브 아이, ( ? 개 ), + ,15164, ,삐리리 삐삐리리 3등, ( ? 개 ), + ,18114, ,리버스 필터, ( ? 개 ),,,,,,,,,,,,,,,
06269,12291,스피릿 브라운 소드의 주문서, = ,09277, ,그레이 펑거스, ( ? 개 ), + ,09356, ,서펜타인, ( ? 개 ), + ,09387, ,스피릿 소드의 주문서, ( ? 개 ),,,,,,,,,,,,,,,
06270,15231,전자 욕설사전, = ,12278, ,전자 백과사전, ( ? 개 ), + ,12279, ,고대 국어사전, ( ? 개 ), + ,15002, ,악마의 지식, ( ? 개 ),,,,,,,,,,,,,,,
06271,06410,치킨 픽, = ,00035, ,닭의 부리, ( ? 개 ), + ,00151, ,닭다리뼈, ( ? 개 ), + ,03188, ,쟁기, ( ? 개 ),,,,,,,,,,,,,,,
06272,06406,저질 패션 가죽옷, = ,00259, ,각질 피부, ( ? 개 ), + ,03393, ,저질 얼룩가죽, ( ? 개 ), + ,03394, ,저질 알록가죽, ( ? 개 ),,,,,,,,,,,,,,,
06273, [ 09437 ] ,개박살 폭죽, = ,03170, ,박살폭죽, ( 3 개 ), + ,03349, ,폭발성 촉매제, ( 6 개 ), + ,06341, ,화약 가루, ( 1 개 ),,,,,,,,,,,,,,,
06274,06414,히어로 가면, = ,03250, ,가면, ( ? 개 ), + ,03254, ,변신장치(백), ( ? 개 ), + ,06193, ,1류 패션 잡지(아레사), ( ? 개 ),,,,,,,,,,,,,,,
06275,09434,사탕 헬름, = ,00247, ,못, ( ? 개 ), + ,06312, ,망치, ( ? 개 ), + ,09430, ,킹 알사탕, ( ? 개 ),,,,,,,,,,,,,,,
06276,12328,산들바람의 가루, = ,06188, ,하늘색 유리 구슬, ( ? 개 ), + ,09395, ,은액, ( ? 개 ), + ,09424, ,정제된 블랙 페어리 날개가루, ( ? 개 ),,,,,,,,,,,,,,,
06277,06405,좀비 가죽 텐트, = ,00110, ,녹슬은 철봉, ( ? 개 ), + ,00253, ,빨래집게, ( ? 개 ), + ,03201, ,좀비가죽 이불, ( ? 개 ),,,,,,,,,,,,,,,
06278,18171,시어링 오팔, = ,09425, ,환절초 마취약, ( ? 개 ), + ,12164, ,팔랑 더듬이, ( ? 개 ), + ,15176, ,오팔, ( ? 개 ),,,,,,,,,,,,,,,
06279,09438,샤프심 SVRZX , = ,03323, ,흑연, ( ? 개 ), + ,03351, ,강제혼합 보조제, ( ? 개 ), + ,06409, ,샤프심 VRZX, ( ? 개 ),,,,,,,,,,,,,,,
06280,06411,보들보들한 목도리, = ,00232, ,보들보들한 털, ( ? 개 ), + ,00236, ,촉수 덩굴, ( ? 개 ), + ,03127, ,좀비가죽 쇼울, ( ? 개 ),,,,,,,,,,,,,,,
06281,18170,, = ,15113, ,빔 코어, ( ? 개 ), + ,15177, ,터키석, ( ? 개 ), + ,15279, ,샤프심 υ-V, ( ? 개 ),,,,,,,,,,,,,,,
06282, [ 03400 ] ,당근채찍 세트, = ,00046, ,조련용 채찍, ( 2 개 ), + ,00075, ,낚시대, ( 2 개 ), + ,00245, ,당근, ( 5 개 ),,,,,,,,,,,,,,,
06283,15273,다이아 6 면 주사위, = ,09096, ,다이아 판, ( ? 개 ), + ,09310, ,싹부쳐ZZ, ( ? 개 ), + ,12041, ,금제 6면 주사위, ( ? 개 ),,,,,,,,,,,,,,,
06284,18158,폐인의 증표 (짱), = ,15004, ,폐인의 증표(금), ( ? 개 ), + ,15111, ,마스터 위조카드, ( ? 개 ), + ,15202, ,크리스탈 스컬, ( ? 개 ),,,,,,,,,,,,,,,
06285,12327,얼룩 드레스, = ,06115, ,후까시 옷, ( ? 개 ), + ,06348, ,명주실, ( ? 개 ), + ,09420, ,얼룩 가죽, ( ? 개 ),,,,,,,,,,,,,,,
06286,15272,, = ,09210, ,빅 개이빨, ( ? 개 ), + ,12016, ,사이클롭스의 눈알, ( ? 개 ), + ,12186, ,지상 거대괴수의 뼈, ( ? 개 ),,,,,,,,,,,,,,,
06287, [ 15271 ] ,베이직 에센스, = ,09203, ,농업 에센스, ( 2 개 ), + ,09204, ,어업 에센스, ( 2 개 ), + ,09205, ,광업 에센스, ( 2 개 ),,,,,,,,,,,,,,,
06288, [ 09428 ] ,별의 결정, = ,06233, ,태양의 결정, ( 2 개 ), + ,06234, ,달의 결정, ( 2 개 ), + ,06374, ,원형질 융해제, ( 2 개 ),,,,,,,,,,,,,,,
06289,06421,저주받을 그것, = ,00201, ,토사물, ( ? 개 ), + ,03208, ,그것의 그것, ( ? 개 ), + ,06036, ,저주받은 무언가, ( ? 개 ),,,,,,,,,,,,,,,
06290,09427,고목 부적, = ,03389, ,반 영체 털, ( ? 개 ), + ,03390, ,오래된 장작, ( ? 개 ), + ,06013, ,부적(?), ( ? 개 ),,,,,,,,,,,,,,,
06291,18151,이블 아이, = ,15138, ,악귀의 눈, ( ? 개 ), + ,15202, ,크리스탈 스컬, ( ? 개 ), + ,18115, ,포지티브 아이, ( ? 개 ),,,,,,,,,,,,,,,
06292, [ 15278 ] ,스피리츄얼 툴, = ,09406, ,공구 상자, ( 1 개 ), + ,12101, ,스피릿 에센스, ( 2 개 ), + ,12252, ,네뷸라 목, ( 2 개 ),,,,,,,,,,,,,,,
06293,18156,, = ,12191, ,그을린 금가락지, ( ? 개 ), + ,15100, ,웨더 오브, ( ? 개 ), + ,15197, ,인섹트 스톤, ( ? 개 ),,,,,,,,,,,,,,,
06294,06413,블랙 히어로 가면, = ,03250, ,가면, ( ? 개 ), + ,03255, ,변신장치(흑), ( ? 개 ), + ,06193, ,1류 패션 잡지(아레사), ( ? 개 ),,,,,,,,,,,,,,,
06295, [ 12334 ] ,오염촉매제, = ,09055, ,죽음쎈쥐의 피, ( ? 개 ), + ,09069, ,뻑간데이 131, ( ? 개 ), + ,09379, ,오염된 겔, ( ? 개 ),,,,,,,,,,,,,,,
06296,18172,빔펄스 제너레이터, = ,09426, ,용접기, ( ? 개 ), + ,15113, ,빔 코어, ( ? 개 ), + ,15264, ,마그네틱 펄서, ( ? 개 ),,,,,,,,,,,,,,,
06297,15282,스컬로 러너, = ,09352, ,문스톤, ( ? 개 ), + ,12250, ,루나리움, ( ? 개 ), + ,12269, ,수수께끼의 두개골, ( ? 개 ),,,,,,,,,,,,,,,
06298, [ 03404 ] ,애시드 스프레이의 주문서, = ,00101, ,찢어진 쿠폰, ( 10 개 ), + ,00204, ,촉수액, ( 10 개 ), + ,00250, ,촛농, ( 8 개 ),,,,,,,,,,,,,,,
06299,18173,블랙 톡식 블래스트의 주문서, = ,15209, ,블랙 유니콘의 뿔, ( ? 개 ), + ,15212, ,검은 드라이어드 눈, ( ? 개 ), + ,15285, ,플라즈믹 아이시 웹의 주문서, ( ? 개 ),,,,,,,,,,,,,,,
